,Data do Anúncio,Ano,Trimestre,Data do Anúncio.1,Empresa alvo do investimento,Empresa(s) investidora(s),Real (em milhões),Dólar (em milhões),Valor Informado,Município,Região,Descrição do investimento,CNAE Empresa alvo do investimento,CNAE Empresa(s) investidora(s),Tipo Investimento,Período,Setor,Real,Dólar,FaixaValor,FaixaValorNome,SetorNome,RegiãoNro,klusterK3D,klusterBD3D
2344,2015-03-03,2015,1,2015-03-03,Águas do Mirante,Águas do Mirante,76.0,24.21,Sim,Piracicaba,RA Campinas,Reforma e ampliação do sistema de esgotamento sanitário.,3701-1 - Gestão de redes de esgoto,3701-1 - Gestão de redes de esgoto,Ampliação,2011 - 2016,5,76000000.0,24210000.0,5,G,Infraestrutura,5,1,5
2345,2015-02-20,2015,1,2015-02-20,Buffet Munnier,Munnier Buffet e Eventos,0.3,0.11,Sim,Piracicaba,RA Campinas,Inauguração de buffet,"5620-1 - Serviços de catering, bufê e outros serviços de comida preparada","5620-1 - Serviços de catering, bufê e outros serviços de comida preparada",Implantação,2014 - 2014,7,300000.0,110000.0,1,P,Serviços,5,0,14
2346,2015-12-02,2015,1,2015-12-02,Mirante Shopping,GMR Gradual Realty,360.0,127.84,Sim,Piracicaba,RA Campinas,Construção de shopping center,6822-6 - Gestão e administração da propriedade imobiliária,6462-0 - Holdings de instituições não-financeiras,Implantação,2015 - 2017,7,360000000.0,127840000.0,7,GG,Serviços,5,1,16
2347,2015-03-22,2015,1,2015-03-22,Unimed Corpo e Mente,Unimed Seguros Saúde,0.05,0.02,Sim,Piracicaba,RA Campinas,"Inauguração de centro de atendimento emocional, o Unimed Corpo e Mente","8720-4 - Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química",6520-1 - Seguros-saúde,Implantação,2014 - 2015,7,50000.0,20000.0,1,P,Serviços,5,0,14
2348,2015-01-22,2015,1,2015-01-22,Covabra Supermercados,Covabra Supermercados,6.87,2.61,Sim,Pirassununga,RA Campinas,Reforma e expansão de supermercado no bairro Centro,"4711-3 - Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados","4711-3 - Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados",Ampliação/Modernização,2015 - 2015,1,6870000.0,2610000.0,3,M,Comércio,5,2,0
2349,2015-12-02,2015,1,2015-12-02,Unimed Santa Barbara D'Oeste e Americana,Unimed de Santa Bárbara d'Oeste e Americana Cooperativa de Trabalho Médico,0.04,0.02,Sim,Santa Bárbara d'Oeste,RA Campinas,Inauguração de unidade de serviços em medicina diagnóstica de análises clínicas,8640-2 - Atividades de serviços de complementação diagnóstica e terapêutica,6550-2 - Planos de saúde,Implantação,2015 - 2015,7,40000.0,20000.0,1,P,Serviços,5,0,14
2350,2015-03-22,2015,1,2015-03-22,Ambplan,Ambplan Sistemas,0.07,0.02,Sim,São João da Boa Vista,RA Campinas,Abertura de empresa de desenvolvimento de software de gestão de requisitos,6202-3 - Desenvolvimento e licenciamento de programas de computador customizáveis,6202-3 - Desenvolvimento e licenciamento de programas de computador customizáveis,Implantação,2014 - 2014,7,70000.0,20000.0,1,P,Serviços,5,0,14
2351,2015-02-13,2015,1,2015-02-13,CPFL Leste,Companhia Leste Paulista de Energia,4.6,1.63,Sim,Tapiratiba,RA Campinas,Construção de subestação de energia elétrica,3514-0 - Distribuição de energia elétrica,3514-0 - Distribuição de energia elétrica,Ampliação,2015 - 2015,5,4600000.0,1630000.0,3,M,Infraestrutura,5,0,2
2352,2015-03-24,2015,1,2015-03-24,Bionovis,Bionovis Companhia Brasileira de Biotecnologia Farmacêutica,740.0,235.73,Sim,Valinhos,RA Campinas,"Construção de fábrica de medicamentos biológicos para artrite reumatoide, psoríase, esclerose múltipla e outras doenças.",2121-1 - Fabricação de medicamentos para uso humano,7210-0 - Pesquisa e desenvolvimento experimental em ciências físicas e naturais,Implantação,2015 - 2016,3,740000000.0,235730000.0,7,GG,Indústria,5,3,17
2353,2015-03-26,2015,1,2015-03-26,Pão de Açúcar,Companhia Brasileira de Distribuição,7.0,2.23,Sim,Araraquara,RA Central,Inauguração de supermercado no Shopping Jaraguá Araraquara,"4711-3 - Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados",4789-0 - Comércio varejista de outros produtos novos não especificados anteriormente,Implantação,2015 - 2015,1,7000000.0,2230000.0,3,M,Comércio,15,2,0
